Date,Open,High,Low,Close,Adj Close,Volume
2020-07-30,55.930000,57.549999,55.540001,57.349998,54.972206,1536700
2020-07-31,57.150002,57.150002,55.730000,56.520000,54.176628,1136300
2020-08-03,56.720001,56.720001,55.759998,56.380001,54.042431,1030900
2020-08-04,56.700001,58.240002,56.700001,57.880001,55.480240,1599400
2020-08-05,58.000000,58.680000,57.560001,57.740002,55.346046,1651900
2020-08-06,56.709999,56.950001,55.169998,55.200001,52.911362,3217500
2020-08-07,54.720001,54.900002,53.639999,53.730000,51.502304,2997200
2020-08-10,53.980000,55.630001,53.490002,54.770000,52.499187,2058000
2020-08-11,55.680000,56.860001,55.430000,55.490002,53.189339,1861300
2020-08-12,55.689999,56.310001,54.320000,54.349998,52.096596,1172800
2020-08-13,54.340000,55.310001,54.189999,54.349998,52.096596,1683800
2020-08-14,54.290001,54.660000,53.490002,54.419998,52.163696,1231500
2020-08-17,54.799999,54.830002,53.880001,54.389999,52.134941,2277400
2020-08-18,54.529999,54.919998,54.060001,54.910000,52.633381,1312400
2020-08-19,54.919998,55.000000,54.139999,54.450001,52.192451,1495400
2020-08-20,54.169998,55.250000,53.895000,54.540001,52.278721,1981400
2020-08-21,54.459999,54.654999,53.759998,53.799999,51.569401,2430700
2020-08-24,54.040001,54.570000,53.450001,54.450001,52.192451,2022500
2020-08-25,54.730000,54.880001,53.849998,54.279999,52.029503,2146700
2020-08-26,54.150002,54.610001,53.639999,54.500000,52.240379,1641300
2020-08-27,54.779999,55.810001,54.430000,54.509998,52.249966,1045400
2020-08-28,54.740002,55.680000,54.480999,55.410000,53.112648,1487000
2020-08-31,55.799999,55.799999,54.130001,54.139999,51.895302,1317000
2020-09-01,54.139999,55.099998,54.029999,54.919998,52.642960,1315900
2020-09-02,55.290001,57.340000,55.259998,57.200001,54.828434,2521000
2020-09-03,57.290001,57.590000,55.889999,56.619999,54.272480,2648200
2020-09-04,56.770000,57.369999,55.369999,56.070000,53.745289,2142100
2020-09-08,55.349998,57.139999,55.099998,55.799999,53.486477,1934500
2020-09-09,55.880001,56.150002,55.000000,55.810001,53.496067,2338600
2020-09-10,55.709999,56.840000,55.020000,55.040001,52.757988,2261600
2020-09-11,55.450001,55.560001,53.439999,54.509998,52.249966,2052800
2020-09-14,55.000000,56.639999,54.900002,56.480000,54.138283,2173100
2020-09-15,56.700001,58.320000,56.654999,58.209999,55.796558,2328500
2020-09-16,58.480000,58.500000,56.297001,56.340000,54.004093,1807100
2020-09-17,55.000000,55.959999,54.299999,55.820000,54.004086,1306300
2020-09-18,55.750000,56.250000,55.580002,55.900002,54.081490,2050100
2020-09-21,54.880001,54.908001,53.580002,54.610001,52.833450,2060100
2020-09-22,54.830002,55.320000,54.060001,55.169998,53.375233,1247900
2020-09-23,55.220001,56.125000,54.810001,55.110001,53.317188,2118800
2020-09-24,54.700001,56.150002,54.250000,55.980000,54.158886,2401700
2020-09-25,55.689999,57.189999,55.599998,56.639999,54.797413,2017000
2020-09-28,57.230000,58.049999,57.230000,57.910000,56.026096,1772900
2020-09-29,57.950001,57.950001,57.005001,57.369999,55.503666,2173000
2020-09-30,57.459999,58.000000,57.130001,57.509998,55.639107,2366300
2020-10-01,57.830002,58.130001,57.110001,57.750000,55.871304,3000100
2020-10-02,56.330002,57.410000,56.330002,57.360001,55.493992,1772800
2020-10-05,57.919998,58.110001,57.310001,57.770000,55.890656,1137200
2020-10-06,58.000000,58.970001,57.340000,57.560001,55.687489,1078600
2020-10-07,58.099998,58.369999,57.639999,58.099998,56.209915,713700
2020-10-08,58.720001,60.160000,58.200001,59.959999,58.009411,1294900
2020-10-09,60.200001,60.410000,59.549999,59.599998,57.661121,731500
2020-10-12,59.880001,59.959999,59.150002,59.450001,57.516003,621100
2020-10-13,59.299999,59.410000,58.549999,59.049999,57.129005,902900
2020-10-14,59.200001,60.570000,58.849998,59.459999,57.525673,2373900
2020-10-15,58.470001,58.779999,57.639999,58.689999,56.780727,1517400
2020-10-16,59.040001,59.250000,57.419998,57.480000,55.610088,1561600
2020-10-19,57.720001,57.990002,56.090000,56.240002,54.410427,1531200
2020-10-20,56.669998,57.125000,56.180000,56.689999,54.845787,1517900
2020-10-21,56.500000,56.730000,55.799999,56.450001,54.613594,1092500
2020-10-22,56.380001,57.299999,56.060001,57.080002,55.223103,1262200
2020-10-23,57.480000,57.505001,56.115002,56.779999,54.932858,1159400
2020-10-26,56.400002,56.400002,54.660000,55.410000,53.607426,2408200
2020-10-27,55.000000,55.570000,53.115002,53.410000,51.672493,3554300
2020-10-28,52.320000,52.880001,51.160000,52.700001,50.985588,2930100
2020-10-29,52.419998,53.619999,52.220001,53.020000,51.295177,2119000
2020-10-30,52.540001,53.099998,51.650002,52.000000,50.308361,2127300
2020-11-02,52.439999,52.669998,51.117001,51.759998,50.076168,2131500
2020-11-03,52.020000,54.185001,52.020000,54.000000,52.243294,1698700
2020-11-04,54.029999,54.590000,53.360001,53.910000,52.156219,2052700
2020-11-05,54.880001,54.880001,53.459999,54.049999,52.291668,1887800
2020-11-06,54.180000,54.250000,53.270000,53.820000,52.069149,1669600
2020-11-09,57.740002,60.250000,56.959999,58.080002,56.190567,4037200
